name,id,nickname,dob,country
David Moyes,86,,1963-04-25,Scotland
Francisco Joaquín Pérez Rufete,4978,Francisco Rufete,1976-11-20,Spain
José Bordalás Jiménez,228,Pepe Bordalás,1964-03-05,Spain
Imanol Alguacil Barrenetxea,85,Imanol Alguacil,1971-07-04,Spain
Manuel Eduardo Berizzo,385,Eduardo Berizzo,1969-11-13,Argentina
Dave Jones,3602,,1956-08-17,England
Sam Allardyce,561,,1954-10-19,England
Jagoba Arrasate Elustondo,1592,Jagoba Arrasate,1978-04-22,Spain
José Miguel Azevedo Cardoso,280,Miguel Cardoso,1972-05-28,Portugal
Eduardo Germán Coudet,2886,Eduardo Coudet,1974-09-12,Argentina
Mauricio Pellegrino,681,,1971-10-05,Argentina
Alan Curbishley,3407,,1957-11-08,England
Kevin Joseph Keegan,4202,Kevin Keegan,1951-02-14,England
Steve Bruce,37,,1960-12-31,England
Pablo Javier Machín Díez,234,Pablo Machín,1975-04-07,Spain
Micky Adams,2974,,1961-11-08,England
Óscar García Junyent,430,Óscar García,1973-04-26,Spain
Marcelino García Toral,211,Marcelino,1965-08-14,Spain
Harry Redknapp,749,,1947-03-02,England
Javier Gracia Carlos,188,Javi Gracia,1970-05-01,Spain
Arsène Wenger,577,,1949-10-22,France
Joan Francesc Ferrer Sicilia,677,Rubí,1970-02-05,Spain
Enrique Setién Solar,238,Quique Setién,1958-09-27,Spain
Vicente Moreno Peris,1603,Vicente Moreno,1974-10-26,Spain
Claudio Ranieri,60,,1951-10-20,Italy
Gaizka Garitano Aguirre,767,Gaizka Garitano,1975-07-09,Spain
Juan Ramón López Muñiz,2,Juan Muñiz,1968-11-02,Spain
Julen Lopetegui Argote,741,Julen Lopetegui,1966-08-28,Spain
Sergio González Soriano,576,Sergio,1976-11-10,Spain
Francisco José López Fernández,219,Paco López,1967-09-19,Spain
David O''Leary,6094,,1958-05-02,Ireland
Bobby Robson,3404,,1933-02-18,England
Peter Reid,3643,,1956-06-20,England
David Pleat,3533,,1945-01-15,England
Graeme Souness,3548,,1953-05-06,Scotland
Ernesto Valverde Tejedor,227,Ernesto Valverde,1964-02-09,Spain
Javier Calleja Revilla,182,Javi Calleja,1978-05-12,Spain
Miguel Ángel Sánchez Muñoz,766,Míchel,1975-10-30,Spain
Diego Martínez Penas,1597,,1980-12-16,Spain
Manuel Luis Pellegrini Ripamonti,733,Manuel Pellegrini,1953-09-16,Chile
Unai Emery Etxegoien,21,Unai Emery,1971-11-03,Spain
Abelardo Fernández Antuña,187,Abelardo,1970-04-19,Spain
Javier Aguirre Onaindía,3196,Javier Aguirre,1958-12-01,Mexico
Álvaro Cervera Díaz,1598,Álvaro Cervera,1965-09-20,Spain
Alex Ferguson,790,,1941-12-31,Scotland
Gordon Strachan,3722,,1957-02-09,Scotland
Juan José Rojo Martín,1605,Pacheta,1968-03-23,Spain
Chris Coleman,403,Óscar Pareja,1970-06-10,Wales
Steve McClaren,40,,1961-05-03,England
Santiago Hernán Solari Poggio,25,Santiago Solari,1976-10-07,Argentina
José Luis Mendilibar Etxebarria,221,José Luis Mendilibar,1961-03-14,Spain
Albert Celades López,3580,Albert Celades,1975-09-29,Spain
José Ignacio Fernández García,4268,Nacho Fernández,1973-05-05,Spain
Eddie Gray,3029,,1948-01-17,Scotland
Asier Garitano Aguirrezábal,84,Asier Garitano,1969-12-06,Spain
Diego Pablo Simeone,230,Diego Simeone,1970-04-28,Argentina
Francisco Escriba Segura,509,Fran Escribá,1965-05-03,Spain
Ronald Koeman,676,,1963-03-21,Netherlands
Zinédine Zidane,56,,1972-06-23,France
Eusebio Sacristán Mena,229,Eusebio Sacristán,1964-04-13,Spain
Leonardo Neoren Franco,768,Leo Franco,1977-05-20,Argentina
